[2.74 - 3.62] 各位就是
[4.46 - 7.60] 哈雅公司以及接報公司的同仁大家好
[7.60 - 11.06] 我是接報公司的代表批演
[11.06 - 12.02] 我是崔達
[12.02 - 14.28] 那今天針對哈雅投信
[14.28 - 15.96] T.A系統建制專
[15.96 - 17.64] 其實會議進行說明
[19.76 - 22.90] 我們說明的會議大家主要分三個部分
[22.90 - 24.92] 第一個是專案的說明
[24.92 - 27.40] 包含就是各個人與他的職場
[27.40 - 28.00] 內容是什麼
[28.00 - 30.42] 然後各個成員的任務
[30.42 - 33.22] 以及比較重要的重大變跟
[33.22 - 35.28] 我們需要進行怎樣的流程
[35.28 - 36.36] 去解決這個問題
[36.36 - 39.46] 那第二個是關於專案寫成的說明
[39.46 - 42.02] 有包含有講到專案的寫成表
[42.02 - 45.00] 以及功能說明計畫寫成
[45.00 - 47.06] 那最後會在Q的部分
[47.06 - 49.32] 如果大家有什麼內容要提議討論
[49.32 - 51.16] 我們會在這個時候提議討論
[52.44 - 55.38] 第一個部分是關於專案寫的說明的部分
[55.38 - 57.82] 我們分為四個項目
[57.82 - 59.88] 第一個是其實會議
[59.88 - 61.90] 就是今天我們大家猜渭的會議
[61.90 - 65.68] 我們會確認是雙方的職場是誰
[65.68 - 68.46] 然後各個人是做什麼樣的工作
[69.42 - 70.78] 那以及包含到
[70.78 - 73.58] 如果我們有做到需要變個的項目
[73.58 - 74.60] 會計什麼樣的處理
[74.60 - 78.06] 那在明天開始會有功能說明會議
[78.06 - 80.84] 我們會去針對標準白系統
[80.84 - 82.06] 其實功能介紹
[82.06 - 85.62] 我們暫定是從2025年
[85.62 - 87.88] 這個月1月到9月為止
[87.88 - 90.98] 原則是一週一到兩次
[90.98 - 92.42] 我們會是情況
[92.42 - 96.26] 或是暫停或是外找開功能說明會議
[96.26 - 96.60] 這樣
[96.60 - 100.98] 會請雙方的該項目的相關人員
[100.98 - 102.10] 會到場出席
[102.98 - 105.00] 我們在功能會議的時候
[105.00 - 108.24] 我們通常我們方式會是
[108.24 - 110.00] 這一次講完
[110.00 - 111.98] 可能說明會在下一週
[111.98 - 113.44] 在功能說明
[113.44 - 115.40] 下一次功能說明會議前
[115.40 - 118.90] 去針對把規格給確認好
[118.90 - 121.88] 這樣我們會方便留時繼續進行這樣
[123.10 - 126.12] 那第三個是我們的第七專案會議
[126.12 - 128.40] 會包含了周慧及月慧
[128.40 - 130.86] 那周慧的話是每週三
[130.86 - 132.66] 下午第七展開
[132.66 - 134.36] 那內容會包含了
[134.36 - 136.00] 下午專案進度的報告
[136.00 - 138.02] 下次如果有什麼問題
[138.02 - 139.08] 還會確認的
[139.08 - 142.02] 或是有什麼虛頭還帶需要處理的
[142.02 - 143.58] 都會在這時候一臂確認
[143.58 - 146.72] 然後每個月會有一次的專案院會
[146.72 - 148.00] 它比較針對
[148.00 - 149.82] 像是重大的需求
[149.82 - 152.24] 做變跟以及決議
[152.24 - 155.02] 然後處理一些相關的特定問題
[155.02 - 158.04] 那我們會在當月的時候
[158.04 - 159.36] 會去決定說
[159.36 - 161.18] 我們的院會是在
[161.18 - 165.08] 當月的第三個週的禮拜幾
[165.08 - 167.74] 去做規矩的動作
[168.32 - 171.38] 然後第四個是我們日常的1秒
[171.38 - 174.22] 像是我們有需求需要確認
[174.22 - 176.48] 或是一些會議時間的
[176.48 - 177.24] 調訂等等
[177.24 - 178.98] 我們都會有通過1秒
[178.98 - 179.88] 出信往來
[182.30 - 185.42] 我們是向事關於我們的專案遊程執長
[185.96 - 187.88] 那我們總共有五個角色
[187.88 - 189.48] 有專案總召
[189.48 - 192.20] 專案經理以及技術工程師
[192.20 - 194.60] 還有我們的這是人員及顧問
[195.14 - 196.60] 那我們專案總召是
[196.60 - 198.92] 負責我們本專案的
[198.92 - 200.00] 執行目標
[200.00 - 201.24] 包含了像
[201.24 - 202.20] 彼此目標
[202.20 - 203.00] 像目標
[203.00 - 203.92] 服務要等等
[203.92 - 206.82] 也結束地形史和我們專案執行的進度
[206.82 - 208.08] 有沒有RSK9
[208.08 - 210.52] 以及決定我們很重要的
[210.52 - 211.60] 重大需求變跟的部分
[212.40 - 214.66] 那專案經理是負責日常
[214.66 - 216.56] 像是專案規劃管理
[216.56 - 218.74] 以及一些規格的確認
[218.74 - 220.96] 然後互相的工作協調等等
[221.96 - 223.94] 我們的技術工程師
[223.94 - 226.48] 我會去開發我們的程式
[226.48 - 229.84] 針對我們一些需求變跟的部分
[229.84 - 230.54] 提開發
[230.54 - 232.74] 以及在開發完之後
[232.74 - 234.52] 這是發現有法格有問題
[234.52 - 235.82] 以及後續調整
[236.44 - 238.24] 那我們這是人員的針對
[238.24 - 240.32] 以及開發程式進行測試
[240.32 - 242.98] 以及跟後續跟工作師溝通說
[242.98 - 245.56] 測試是哪個部分有出現狀況
[245.56 - 247.28] 拿去後續調整
[247.28 - 249.24] 然後最後我們有顧問
[249.24 - 252.68] 當我們專案自己有繼續去到問題的時候
[252.68 - 255.08] 我們顧問可以寫出去諮詢
[255.08 - 257.90] 以及解釋我們地產的專案進行
[259.08 - 261.46] 那我們專案是雙方決議後
[261.46 - 262.84] 我們的專案總召
[262.84 - 264.38] 在Haya公司的話
[264.38 - 267.92] 為JC進行取
[267.92 - 269.62] 然後接鵬的話
[269.62 - 273.16] 為我們的90週
[275.20 - 278.64] 這是關於我們各個負責人員的窗口
[278.64 - 280.64] 前面的六項的話
[280.64 - 284.32] 就是Haya公司的負責人員
[285.02 - 286.98] 可能大家會一直有說不同
[286.98 - 289.96] 我這邊介紹隔壹集的旁公司的部分
[289.96 - 291.26] P.A.就是我
[291.26 - 292.26] 我是Trida
[292.26 - 295.26] P.A.早上是Jones & Me
[296.20 - 298.48] 我們專案人員除了我們三位以外
[298.48 - 301.34] 還有包含我們的測試總
[301.34 - 303.26] 我測試主要負責人JC
[303.26 - 305.26] 以及我們的顧問Selina
[305.26 - 307.82] 還有我們的技術主管Edith
[307.82 - 310.82] 以及我們的EasyChannelDarran
[312.84 - 314.86] 專案人員把我閃掉
[314.86 - 315.82] 我放在那個
[315.82 - 316.72] 專案總召
[316.72 - 317.82] 專案人員
[317.82 - 318.74] 不要放在那
[318.74 - 320.78] 她每天都會來找我
[321.38 - 322.72] 那我先進馬上就
[322.72 - 323.66] 對吧 三地
[323.66 - 326.80] 我可以定期進來
[326.80 - 327.52] 但是比較煩
[327.52 - 329.98] 那樣的話她就會任務事務
[329.98 - 331.76] 好 因為什麼事都來找我
[331.76 - 333.44] 好 那我給她P.A.都沒用
[334.78 - 335.50] 你知道嗎
