[1.02 - 3.88] 你不想在這裡
[3.88 - 6.68] 我也不想在這裡
[6.68 - 9.24] 但天天的太快
[9.24 - 12.02] 想走到就來不及
[12.02 - 14.54] 我愛你
[14.54 - 16.16] 可是關心變成
[16.16 - 16.74] 沒關係
[16.74 - 19.06] 我只是被忘記
[19.06 - 22.68] 你是我們繼續
[34.90 - 38.96] 我這雨像些點東西
[40.00 - 43.42] 一個也是無其能生長
[44.00 - 45.04] 生你
[45.04 - 48.72] 也沒關係
[48.72 - 51.66] 只剩我還用你
[51.66 - 53.74] 只剩我還有
[53.74 - 56.46] 你說你不想在這裡
[57.00 - 59.28] 我也不想在這裡
[59.28 - 61.82] 但天黑的太快
[61.82 - 64.16] 想走到就來不及
[64.16 - 67.04] 我愛你
[67.04 - 68.70] 可是關心變成
[68.70 - 69.20] 沒關係
[69.20 - 71.68] 我只是被忘記
[71.68 - 75.12] 你是我們繼續
[92.82 - 96.12] 我愛你
[98.04 - 99.86] 我愛你
[104.14 - 106.62] 我愛你
[106.62 - 106.86] 我愛你
[106.86 - 108.76] 我愛你
[108.76 - 109.72] 我愛你
[109.72 - 111.28] 我愛你
[116.64 - 119.88] 我愛你
[119.88 - 120.52] 我愛你
[120.52 - 121.36] 那是問題
[121.36 - 123.32] 我都沒關係
[123.32 - 125.98] 但你離開了這裡
[125.98 - 131.24] 你是我又一步在
[132.48 - 134.46] 年輕
[141.26 - 141.26] 
[141.26 - 141.26] 
[141.26 - 141.26] 
